date,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,pres,tend24,raf10,rafper,etat_sol,ht_neige,ssfrai,rr1,rr3,rr6,rr12,rr24,nnuage1,ctype1,hnuage1,temp_humidity_interaction,t_lag6h,t_lag9h,t_lag12h,t_lag24h,t_lag168h,td_lag6h,td_lag9h,td_lag12h,td_lag24h,td_lag168h,u_lag6h,u_lag9h,u_lag12h,u_lag24h,u_lag168h,ww_lag6h,ww_lag9h,ww_lag12h,ww_lag24h,ww_lag168h,n_lag6h,n_lag9h,n_lag12h,n_lag24h,n_lag168h,tend24_lag6h,tend24_lag9h,tend24_lag12h,tend24_lag24h,tend24_lag168h,etat_sol_lag6h,etat_sol_lag9h,etat_sol_lag12h,etat_sol_lag24h,etat_sol_lag168h,rr12_lag6h,rr12_lag9h,rr12_lag12h,rr12_lag24h,rr12_lag168h
2020-09-01 00:00:00,102050,-10,8,340,1.6,285.75,282.55,81,30000,1,0.0,0.0,0.0,0.0,1750.0,30.0,20.0,10.0,100960,120.0,2.4,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1943.3333333333333,23145.75,285.75,285.75,285.75,285.75,285.75,282.55,282.55,282.55,282.55,282.55,81.0,81.0,81.0,81.0,81.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01 01:00:00,102050,-10,8,340,1.6,285.75,282.55,81,30000,1,0.0,0.0,0.0,0.0,1750.0,30.0,20.0,10.0,100960,120.0,2.4,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1943.3333333333333,23145.75,285.75,285.75,285.75,285.75,285.75,282.55,282.55,282.55,282.55,282.55,81.0,81.0,81.0,81.0,81.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01 02:00:00,102050,-10,8,340,1.6,285.75,282.55,81,30000,1,0.0,0.0,0.0,0.0,1750.0,30.0,20.0,10.0,100960,120.0,2.4,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1943.3333333333333,23145.75,285.75,285.75,285.75,285.75,285.75,282.55,282.55,282.55,282.55,282.55,81.0,81.0,81.0,81.0,81.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01 03:00:00,101990,-60,6,290,1.1,283.95,282.05,88,25000,2,0.0,0.0,0.0,0.0,1750.0,30.0,20.0,10.0,100900,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1943.3333333333333,24987.6,285.75,285.75,285.75,285.75,285.75,282.55,282.55,282.55,282.55,282.55,81.0,81.0,81.0,81.0,81.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01 04:00:00,101990,-60,6,290,1.1,283.95,282.05,88,25000,2,0.0,0.0,0.0,0.0,1750.0,30.0,20.0,10.0,100900,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1943.3333333333333,24987.6,285.75,285.75,285.75,285.75,285.75,282.55,282.55,282.55,282.55,282.55,81.0,81.0,81.0,81.0,81.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01 05:00:00,101990,-60,6,290,1.1,283.95,282.05,88,25000,2,0.0,0.0,0.0,0.0,1750.0,30.0,20.0,10.0,100900,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1943.3333333333333,24987.6,285.75,285.75,285.75,285.75,285.75,282.55,282.55,282.55,282.55,282.55,81.0,81.0,81.0,81.0,81.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01 06:00:00,102000,10,3,360,1.8,284.25,282.85,91,25000,3,0.0,0.0,10.0,1.0,4000.0,30.0,23.0,11.0,100910,-60.0,5.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4000.0,25866.75,285.75,285.75,285.75,285.75,285.75,282.55,282.55,282.55,282.55,282.55,81.0,81.0,81.0,81.0,81.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01 07:00:00,102000,10,3,360,1.8,284.25,282.85,91,25000,3,0.0,0.0,10.0,1.0,4000.0,30.0,23.0,11.0,100910,-60.0,5.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4000.0,25866.75,285.75,285.75,285.75,285.75,285.75,282.55,282.55,282.55,282.55,282.55,81.0,81.0,81.0,81.0,81.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01 08:00:00,102000,10,3,360,1.8,284.25,282.85,91,25000,3,0.0,0.0,10.0,1.0,4000.0,30.0,23.0,11.0,100910,-60.0,5.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4000.0,25866.75,285.75,285.75,285.75,285.75,285.75,282.55,282.55,282.55,282.55,282.55,81.0,81.0,81.0,81.0,81.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01 09:00:00,101970,0,5,360,2.9,291.25,283.35,60,19830,1,0.0,0.0,25.0,1.0,800.0,31.0,23.0,10.0,100910,-130.0,5.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,950.0,17475.0,283.95,285.75,285.75,285.75,285.75,282.05,282.55,282.55,282.55,282.55,88.0,81.0,81.0,81.0,81.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
